Sample,treatment,weight,CBDVA,CBD,CBDA,CBGA,THCA,CBC,CBCA,CBDtot,CBCtot,yieldCBD,yieldCBG,yieldTHC,yield CBC
62,1,37,0.136827826,0.584647304,3.174518261,0.047589652,0.108022957,0.043342391,0.11112215,3.759165565,0.154464542,1.390891259,0.017608171,0.039968494,0.05715188
66,1,45,0.1470976,0.66588872,3.8052784,0.0672476,0.1274784,0.043761,0.136403586,4.47116712,0.180164586,2.012025204,0.03026142,0.05736528,0.081074064
69,1,34,0.17051,1.786033846,4.017526154,0.083175077,0.087220308,0.093134615,0.136903877,5.80356,0.230038492,1.9732104,0.028279526,0.029654905,0.078213087
79,1,32,0.277165253,1.040378182,5.766710303,0.151545051,0.188156121,0.068984848,0.227978502,6.807088485,0.29696335,2.178268315,0.048494416,0.060209959,0.095028272
58,2,61,0.170428198,0.528046733,4.036186139,0.290612277,0.151974653,0.035316832,0.151412575,4.564232871,0.186729407,2.784182051,0.177273489,0.092704539,0.113904938
65,2,68,0.228216327,0.679328571,4.9714,0.115548571,0.16459102,0.043144898,0.191561947,5.650728571,0.234706845,3.842495429,0.078573029,0.111921894,0.159600655
75,2,94,0.1768,0.909664,6.607272,0.1790544,0.212464,0.06293,0.269291615,7.516936,0.332221615,7.06591984,0.168311136,0.19971616,0.312288318
78,2,76,0.315051803,1.050491148,6.551853115,0.142074754,0.212179672,0.07297541,0.25934432,7.602344262,0.33231973,5.777781639,0.107976813,0.161256551,0.252562995
53,3,47,0.252571429,0.568764571,4.863817143,0.110417714,0.166139592,0.041428571,0.269406409,5.432581714,0.310834981,2.553313406,0.051896326,0.078085608,0.146092441
73,3,60,0.157155556,0.951778074,3.088278148,0.070896519,0.098764444,0.059074074,0.108982246,4.040056222,0.168056321,2.424033733,0.042537911,0.059258667,0.100833792
74,3,69,0.246341333,0.740392593,4.360414593,0.099891037,0.146420296,0.052253704,0.168290984,5.100807185,0.220544688,3.519556958,0.068924816,0.101030004,0.152175834
76,3,71,0.26529914,1.36812972,5.458283364,0.123786168,0.147099813,0.085915888,0.214218947,6.826413084,0.300134835,4.84675329,0.087888179,0.104440867,0.213095733
54,4,110,0.21233165,0.988080854,4.156341748,0.104779806,0.112399223,0.057296117,0.14540068,5.144422602,0.202696796,5.658864862,0.115257786,0.123639146,0.222966476
63,4,50,0.06354297,0.620872554,1.469595248,0,0.034645069,0.030435644,0.046642035,2.090467802,0.077077678,1.045233901,0,0.017322535,0.038538839
68,4,50,0.074436408,0.8646,1.459451429,0,0.026325714,0.042789796,0.045343502,2.324051429,0.088133298,1.162025714,0,0.013162857,0.044066649
72,4,49,0.089764772,0.541512632,1.918785965,0.040521404,0.05868814,0.032128947,0.065130307,2.460298596,0.097259254,1.205546312,0.019855488,0.028757189,0.047657035
59,5,6,0.129653333,0.87938502,3.02036,0.088733647,0.070821333,0.049470588,0.108913314,3.89974502,0.158383902,0.233984701,0.005324019,0.00424928,0.009503034
67,5,14,0.088856258,0.761681892,1.984525591,0.088309591,0.049887312,0.042408602,0.065774925,2.746207484,0.108183527,0.384469048,0.012363343,0.006984224,0.015145694
70,5,30,0.260384305,1.277162667,5.268737067,0.138213333,0.143790019,0.081807619,0.207652194,6.545899733,0.289459813,1.96376992,0.041464,0.043137006,0.086837944
80,5,38,0.197955556,0.98816547,4.016467897,0.115302564,0.130450598,0.064444444,0.15023745,5.004633368,0.214681895,1.90176068,0.043814974,0.049571227,0.08157912
61,6,43,0.093704,0.359998917,2.23888875,0,0.076196167,0.026583333,0.082542333,2.598887667,0.109125666,1.117521697,0,0.032764352,0.046924037
64,6,71,0.240748936,1.002846809,4.749074043,0.090022979,0.139766809,0.061393617,0.181013752,5.751920851,0.242407369,4.083863804,0.063916315,0.099234434,0.172109232
71,6,37,0.115785959,1.083182857,2.382902857,0,0.058403265,0.060071429,0.078633668,3.466085714,0.138705097,1.282451714,0,0.021609208,0.051320886
77,6,66,0.324443509,1.463982456,6.235560702,0.151112561,0.182568421,0.092850877,0.242388358,7.699543158,0.335239235,5.081698484,0.099734291,0.120495158,0.221257895
